var-0,var-1,ETIQ
0.3346,0.3559,0
0.3791,0.3586,0
0.367,0.3596,0
0.3302,0.3351,0
0.3733,0.3516,0
0.3619,0.3751,0
0.3704,0.385,0
0.3479,0.3691,0
0.3677,0.3427,0
0.3585,0.3142,0
0.3556,0.3822,0
0.3232,0.3953,0
0.3661,0.3535,0
0.3358,0.3763,0
0.3358,0.3551,0
0.3805,0.3221,0
0.3602,0.3537,0
0.3715,0.3086,0
0.3756,0.3526,0
0.3611,0.3447,0
0.3639,0.3504,0
0.3905,0.3606,0
0.3435,0.3559,0
0.356,0.3584,0
0.3415,0.3861,0
0.3455,0.373,0
0.3393,0.3428,0
0.3317,0.3581,0
0.3249,0.3623,0
0.3942,0.372,0
0.3728,0.3545,0
0.37,0.3447,0
0.3513,0.3783,0
0.3649,0.3751,0
0.3525,0.3826,0
0.394,0.3307,0
0.3534,0.3608,0
0.3412,0.3206,0
0.3342,0.3726,0
0.3768,0.3683,0
0.3739,0.3668,0
0.3739,0.3653,0
0.3972,0.3682,0
0.3768,0.3643,0
0.3553,0.3677,0
0.368,0.3974,0
0.3822,0.3539,0
0.3472,0.3698,0
0.3276,0.3727,0
0.3512,0.3623,0
0.3642,0.3388,0
0.3459,0.3962,0
0.3704,0.3815,0
0.3556,0.3441,0
0.4139,0.3735,0
0.3461,0.3691,0
0.3505,0.3465,0
0.3402,0.364,0
0.3514,0.3486,0
0.3794,0.3682,0
0.3613,0.375,0
0.3458,0.3391,0
0.3425,0.3587,0
0.372,0.3453,0
0.3679,0.3656,0
0.3472,0.365,0
0.3826,0.3542,0
0.3224,0.3619,0
0.3741,0.3461,0
0.3581,0.3592,0
0.3358,0.3771,0
0.3744,0.3591,0
0.3805,0.3667,0
0.3564,0.3672,0
0.3877,0.3775,0
0.3651,0.3402,0
0.3219,0.3721,0
0.3728,0.3515,0
0.3696,0.362,0
0.3497,0.3315,0
0.3606,0.3525,0
0.4056,0.3567,0
0.368,0.346,0
0.3615,0.3776,0
0.3849,0.3347,0
0.359,0.3617,0
0.329,0.3923,0
0.288,0.3282,0
0.3797,0.3594,0
0.3707,0.334,0
0.3368,0.3707,0
0.3194,0.3541,0
0.3478,0.3416,0
0.3823,0.3763,0
0.3507,0.3479,0
0.3841,0.3663,0
0.3591,0.3693,0
0.3487,0.3694,0
0.33,0.339,0
0.3757,0.3562,0
0.5192,0.619,1
0.5526,0.6153,1
0.5253,0.6142,1
0.5749,0.6173,1
0.5517,0.6366,1
0.5293,0.6047,1
0.5709,0.6102,1
0.4975,0.6201,1
0.5336,0.6016,1
0.5541,0.6101,1
0.6408,0.6216,1
0.5867,0.6297,1
0.5274,0.599,1
0.5256,0.6389,1
0.5548,0.6463,1
0.5241,0.6236,1
0.585,0.6362,1
0.5848,0.6087,1
0.5802,0.61,1
0.501,0.6355,1
0.552,0.6015,1
0.553,0.6118,1
0.6074,0.6465,1
0.5565,0.607,1
0.6106,0.5872,1
0.5612,0.6055,1
0.5647,0.6132,1
0.601,0.601,1
0.5716,0.6229,1
0.5296,0.637,1
0.5071,0.6119,1
0.576,0.6286,1
0.5477,0.5758,1
0.5674,0.5863,1
0.5397,0.6211,1
0.5486,0.6114,1
0.5665,0.6314,1
0.61,0.6131,1
0.5537,0.6034,1
0.5778,0.5958,1
0.5702,0.6304,1
0.5427,0.6489,1
0.5731,0.6124,1
0.5546,0.6571,1
0.5605,0.5981,1
0.5826,0.6373,1
0.5847,0.6136,1
0.5607,0.6275,1
0.5702,0.6093,1
0.5718,0.5879,1
0.5791,0.638,1
0.5856,0.5736,1
0.6079,0.6149,1
0.5704,0.6134,1
0.5984,0.5774,1
0.5999,0.6539,1
0.5817,0.6363,1
0.5901,0.6348,1
