var-0,var-1,var-2,ETIQ
0.3754,0.5774,0.083,0
0.3789,0.5689,0.0287,0
0.3633,0.6479,0.133,0
0.3691,0.5986,0.0897,0
0.358,0.555,0.112,0
0.3812,0.7105,0.0718,0
0.3309,0.5999,0.0799,0
0.3378,0.6656,0.1317,0
0.3663,0.5906,0.1138,0
0.3772,0.6269,0.1283,0
0.3258,0.5447,0.0814,0
0.3881,0.6379,0.12,0
0.3869,0.621,0.0812,0
0.3637,0.6179,0.1098,0
0.3904,0.5717,0.0705,0
0.3394,0.6635,0.0549,0
0.281,0.7047,0.0505,0
0.3399,0.6672,0.0436,0
0.3618,0.6066,0.0591,0
0.2503,0.6493,0.0873,0
0.306,0.7074,0.1168,0
0.3275,0.6069,0.0891,0
0.3352,0.6388,0.0861,0
0.3696,0.5753,0.0902,0
0.3713,0.6717,0.1241,0
0.3806,0.5715,0.1181,0
0.3443,0.5781,0.0608,0
0.322,0.5835,0.0805,0
0.3185,0.5707,0.1208,0
0.3541,0.5588,0.0592,0
0.3681,0.7218,0.1378,0
0.357,0.6575,0.0933,0
0.3545,0.6288,0.1155,0
0.3457,0.6138,0.031,0
0.3512,0.6165,0.085,0
0.3444,0.6357,0.1,0
0.3811,0.5967,0.0766,0
0.2786,0.6404,0.0811,0
0.3697,0.6177,0.0802,0
0.3867,0.6069,0.0833,0
0.362,0.6402,0.085,0
0.3412,0.5787,0.0664,0
0.2843,0.552,0.0995,0
0.3949,0.5814,0.1109,0
0.4197,0.6583,0.1017,0
0.3412,0.6439,0.1191,0
0.3989,0.5942,0.0794,0
0.349,0.6031,0.0163,0
0.361,0.5852,0.0769,0
0.4212,0.5626,0.0444,0
0.363,0.612,0.0927,0
0.3839,0.616,0.1188,0
0.3059,0.6425,0.1323,0
0.3935,0.564,0.0843,0
0.3949,0.6199,0.0702,0
0.2881,0.613,0.0752,0
0.3954,0.6224,0.0924,0
0.3998,0.659,0.1172,0
0.3314,0.6259,0.1197,0
0.3215,0.6617,0.0848,0
0.3094,0.6595,0.0874,0
0.3182,0.6931,0.0,0
0.3531,0.6293,0.0489,0
0.3414,0.683,0.0874,0
0.3623,0.6935,0.0848,0
0.4082,0.6503,0.0758,0
0.3583,0.6058,0.0866,0
0.3778,0.6344,0.1222,0
0.3336,0.5858,0.0622,0
0.3692,0.6371,0.1204,0
0.4533,0.6112,0.0882,0
0.3174,0.5734,0.1363,0
0.3722,0.6795,0.1512,0
0.3201,0.5948,0.0618,0
0.3682,0.6898,0.1539,0
0.3528,0.5468,0.1025,0
0.342,0.6059,0.0663,0
0.3956,0.558,0.1003,0
0.3632,0.6425,0.0946,0
0.2852,0.5954,0.1007,0
0.25,0.5535,0.0809,0
0.3849,0.5803,0.0351,0
0.3895,0.6358,0.0715,0
0.3026,0.5795,0.1312,0
0.3331,0.6087,0.0959,0
0.3573,0.5659,0.0977,0
0.3493,0.6067,0.0749,0
0.34,0.6404,0.079,0
0.4203,0.6387,0.074,0
0.322,0.5707,0.0742,0
0.353,0.6617,0.1044,0
0.3317,0.6101,0.1369,0
0.3896,0.595,0.082,0
0.3895,0.6613,0.1061,0
0.3629,0.6155,0.071,0
0.3992,0.5399,0.1172,0
0.3544,0.6111,0.0475,0
0.335,0.6085,0.086,0
0.3861,0.6428,0.1228,0
0.398,0.6567,0.1095,0
0.8691,0.3618,0.4463,1
0.9224,0.3911,0.416,1
0.8504,0.3174,0.5024,1
0.8905,0.3083,0.4733,1
0.8558,0.4526,0.5583,1
0.9675,0.3428,0.4803,1
0.835,0.3165,0.5279,1
0.849,0.2857,0.5298,1
0.8064,0.3213,0.5068,1
0.9239,0.3531,0.5552,1
0.8852,0.3879,0.4516,1
0.9184,0.4001,0.4456,1
0.9833,0.2699,0.5318,1
0.8473,0.326,0.4242,1
0.8877,0.2592,0.4483,1
0.9007,0.3866,0.5538,1
0.9213,0.305,0.5682,1
0.8325,0.3501,0.4771,1
0.9001,0.305,0.5018,1
0.78,0.367,0.485,1
0.8667,0.2593,0.5407,1
0.8316,0.3646,0.474,1
0.8615,0.3165,0.4889,1
0.8673,0.2964,0.4853,1
0.9034,0.352,0.4464,1
0.8905,0.3264,0.5144,1
0.8858,0.3485,0.5085,1
0.895,0.3294,0.475,1
0.8646,0.3702,0.5155,1
0.9165,0.3497,0.4404,1
0.9181,0.3748,0.5401,1
0.8985,0.4092,0.5126,1
0.8497,0.2803,0.5917,1
0.8605,0.3357,0.5062,1
0.884,0.2589,0.5064,1
0.8607,0.3434,0.4259,1
0.8948,0.3169,0.4069,1
0.8257,0.3653,0.5026,1
0.8134,0.3523,0.4555,1
0.9071,0.3173,0.4168,1
0.8626,0.3435,0.5017,1
0.9554,0.4072,0.4519,1
0.8757,0.3085,0.5706,1
0.8742,0.3053,0.5407,1
0.8585,0.3616,0.4825,1
0.8909,0.3065,0.5156,1
0.9183,0.3169,0.5382,1
0.8053,0.322,0.5402,1
0.913,0.4455,0.4821,1
0.9328,0.3003,0.4169,1
0.8549,0.2743,0.536,1
0.9128,0.3602,0.4994,1
0.8722,0.2917,0.4511,1
0.8326,0.2527,0.4986,1
0.8913,0.3306,0.5123,1
0.9275,0.3328,0.5883,1
0.8384,0.3671,0.5707,1
0.8839,0.3004,0.4991,1
0.865,0.349,0.5353,1
0.9634,0.3611,0.5017,1
0.836,0.356,0.5878,1
0.9058,0.3338,0.5343,1
1.0,0.3475,0.4665,1
0.8807,0.297,0.3989,1
0.8948,0.3506,0.5187,1
0.9142,0.3534,0.5455,1
0.8234,0.3242,0.5118,1
0.786,0.3805,0.6092,1
0.8793,0.3387,0.4942,1
0.9062,0.301,0.5114,1
0.8612,0.411,0.6133,1
0.9249,0.3349,0.4905,1
0.9666,0.3736,0.5176,1
0.9042,0.3325,0.5021,1
0.8303,0.3017,0.5253,1
0.8698,0.3501,0.4815,1
0.8314,0.3908,0.5257,1
0.7926,0.3172,0.5207,1
0.9221,0.2871,0.5164,1
0.9317,0.2992,0.5633,1
0.8317,0.3603,0.5176,1
0.9007,0.321,0.4792,1
0.8912,0.2509,0.5312,1
0.8347,0.3161,0.5089,1
0.8177,0.3184,0.577,1
0.9575,0.247,0.5021,1
0.8658,0.3906,0.5358,1
0.945,0.315,0.5349,1
0.9171,0.3387,0.5441,1
0.8635,0.3072,0.4649,1
0.8971,0.5511,0.5333,1
0.8572,0.3604,0.5568,1
0.8219,0.3313,0.5071,1
0.9348,0.2573,0.5692,1
0.9136,0.2896,0.5385,1
0.9372,0.4068,0.5451,1
0.8307,0.2711,0.5257,1
0.9221,0.3277,0.4624,1
0.8649,0.3146,0.4801,1
0.9196,0.3597,0.5621,1
0.7864,0.0061,0.726,2
0.7682,0.0387,0.7129,2
0.7892,0.0837,0.6713,2
0.8327,0.0481,0.684,2
0.7479,0.0551,0.7089,2
0.7999,0.079,0.6879,2
0.7618,0.0402,0.6916,2
0.7763,0.0541,0.6839,2
0.7776,0.0834,0.6782,2
