var-0,var-1,var-2,ETIQ
0.3964,0.588,0.1443,0
0.3387,0.6181,0.1513,0
0.3144,0.6272,0.1691,0
0.3432,0.6723,0.1355,0
0.3981,0.7113,0.0841,0
0.3006,0.6831,0.1729,0
0.4074,0.7229,0.1083,0
0.3914,0.6977,0.1332,0
0.3417,0.5945,0.1459,0
0.3367,0.7071,0.0897,0
0.3646,0.6248,0.0879,0
0.4679,0.691,0.1374,0
0.3841,0.611,0.0774,0
0.3552,0.6921,0.1448,0
0.3407,0.6191,0.122,0
0.362,0.6178,0.0886,0
0.3113,0.6825,0.154,0
0.3085,0.6342,0.1481,0
0.3217,0.6618,0.1733,0
0.3675,0.6341,0.1913,0
0.3328,0.6336,0.1056,0
0.3168,0.5957,0.1084,0
0.3832,0.616,0.12,0
0.3274,0.6861,0.1311,0
0.4112,0.7283,0.0471,0
0.3757,0.6755,0.1037,0
0.3416,0.4965,0.1428,0
0.3483,0.6676,0.1376,0
0.345,0.6651,0.156,0
0.3327,0.5979,0.1332,0
0.375,0.6925,0.1444,0
0.3069,0.6415,0.1191,0
0.3433,0.7143,0.1266,0
0.3598,0.6957,0.1538,0
0.3874,0.62,0.1744,0
0.3754,0.6261,0.1341,0
0.4487,0.6814,0.1034,0
0.3371,0.6405,0.1358,0
0.3517,0.5962,0.069,0
0.3877,0.6088,0.1492,0
0.4689,0.5533,0.1502,0
0.414,0.6414,0.1698,0
0.3467,0.5542,0.1277,0
0.3106,0.6249,0.1466,0
0.3527,0.6367,0.0766,0
0.3498,0.5973,0.1017,0
0.3391,0.7108,0.1595,0
0.3169,0.6653,0.1428,0
0.3866,0.6063,0.1401,0
0.4238,0.6748,0.1237,0
0.3008,0.6824,0.0601,0
0.3247,0.6979,0.1313,0
0.388,0.6624,0.1754,0
0.2999,0.667,0.1412,0
0.3431,0.6557,0.1942,0
0.359,0.6081,0.1176,0
0.3322,0.6649,0.15,0
0.3275,0.65,0.1551,0
0.3467,0.6378,0.1342,0
0.3117,0.6339,0.0517,0
0.3105,0.7166,0.1694,0
0.3782,0.6123,0.1759,0
0.3562,0.7142,0.0,0
0.3729,0.6454,0.2062,0
0.3323,0.5911,0.1728,0
0.376,0.628,0.1207,0
0.3367,0.5621,0.1264,0
0.3869,0.6119,0.1824,0
0.3668,0.6225,0.1228,0
0.3686,0.6606,0.2054,0
0.3402,0.6117,0.1452,0
0.3786,0.6946,0.1303,0
0.3374,0.7046,0.106,0
0.4005,0.6173,0.1466,0
0.3377,0.6473,0.1359,0
0.3492,0.5942,0.1667,0
0.3863,0.7288,0.1458,0
0.363,0.686,0.1269,0
0.3937,0.6744,0.0738,0
0.4317,0.7499,0.0949,0
0.3256,0.6864,0.0309,0
0.4276,0.6443,0.1135,0
0.4605,0.6658,0.1199,0
0.3469,0.692,0.1569,0
0.321,0.6685,0.0573,0
0.3589,0.6438,0.1223,0
0.4063,0.5849,0.1098,0
0.3101,0.6569,0.1209,0
0.3768,0.6894,0.1941,0
0.3501,0.6603,0.1332,0
0.3851,0.6743,0.1327,0
0.3847,0.626,0.1823,0
0.3669,0.7057,0.2066,0
0.3957,0.769,0.1151,0
