var-0,var-1,var-2,var-3,var-4,ETIQ
0.4132,0.6007,0.6368,0.7427,0.758,0
0.5607,0.5176,0.4848,0.7759,0.8079,0
0.4702,0.7474,0.6585,0.6808,0.8981,0
0.4584,0.8331,0.4156,0.6493,0.7595,0
0.3583,0.7402,0.6344,0.7132,0.8592,0
0.5774,0.6614,0.5029,0.7131,0.8806,0
0.4911,0.7254,0.4157,0.6535,0.8572,0
0.4059,0.7298,0.5738,0.6937,0.8119,0
0.3633,0.7017,0.5059,0.6712,0.7966,0
0.4425,0.8286,0.5468,0.804,0.7657,0
0.5205,0.7518,0.5337,0.7335,0.8888,0
0.3444,0.6082,0.4707,0.7044,0.9742,0
0.8279,0.8085,0.5216,0.6875,0.7081,0
0.344,0.664,0.5847,0.6234,0.8577,0
0.42,0.6951,0.5991,0.6122,0.8674,0
0.1461,0.704,0.7344,0.5594,0.8082,0
0.3752,0.6456,0.5646,0.5966,0.7728,0
0.5454,0.6356,0.5395,0.6967,0.7885,0
0.3825,0.7259,0.6268,0.7348,0.8249,0
0.2589,0.672,0.6416,0.6522,0.7449,0
0.423,0.615,0.5838,0.8054,0.7748,0
0.3228,0.5444,0.5854,0.632,0.8104,0
0.4764,0.6009,0.6459,0.6733,0.8816,0
0.4438,0.6295,0.5872,0.6719,0.838,0
0.4798,0.7681,0.7664,0.7964,0.8041,0
0.5146,0.8315,0.6019,0.6867,0.8432,0
0.3942,0.7264,0.584,0.7296,0.9003,0
0.4655,0.5885,0.6621,0.7229,0.685,0
0.5848,0.7051,0.4732,0.6818,0.9421,0
0.2695,0.5799,0.5552,0.7304,0.8746,0
0.3276,0.7824,0.4303,0.7237,0.879,0
0.6456,0.8282,0.4413,0.7829,0.8156,0
0.3326,0.7975,0.5795,0.7669,0.7546,0
0.403,0.7359,0.5683,0.6962,0.8358,0
0.3615,0.6625,0.4558,0.6845,0.8589,0
0.3729,0.6573,0.5702,0.6861,0.7867,0
0.5436,0.7163,0.6408,0.7636,0.7408,0
0.4818,0.7458,0.591,0.824,0.7909,0
0.5228,0.8722,0.5661,0.6719,0.802,0
0.3495,0.702,0.5233,0.6815,0.7778,0
0.4244,0.635,0.5687,0.6733,0.7346,0
0.4309,0.6203,0.4419,0.68,0.8522,0
0.4223,0.7773,0.5614,0.8157,0.8496,0
0.3948,0.6442,0.539,0.7044,0.7951,0
0.3062,0.619,0.5597,0.6759,0.9227,0
0.5014,0.6534,0.6507,0.7496,0.8621,0
0.386,0.6482,0.5616,0.7115,1.0,0
0.3495,0.9233,0.5007,0.6095,0.789,0
0.436,0.856,0.411,0.7257,0.8624,0
0.4518,0.7043,0.5118,0.7011,0.7521,0
