var-0,var-1,ETIQ
0.1487,0.8546,0
0.1801,0.8462,0
0.1576,0.838,0
0.1497,0.7847,0
0.1614,0.8286,0
0.1351,0.8038,0
0.1174,0.8597,0
0.1596,0.8307,0
0.1247,0.8742,0
0.1853,0.8261,0
0.1561,0.8455,0
0.1442,0.8144,0
0.2051,0.8412,0
0.1947,0.8352,0
0.1918,0.7958,0
0.1343,0.8414,0
0.149,0.8375,0
0.197,0.7898,0
0.171,0.8581,0
0.1861,0.8522,0
0.1811,0.7934,0
0.162,0.8384,0
0.1859,0.8288,0
0.1681,0.8454,0
0.1829,0.8143,0
0.1881,0.8341,0
0.1411,0.8511,0
0.1865,0.7785,0
0.1217,0.8395,0
0.1413,0.8442,0
0.1552,0.8345,0
0.1566,0.8182,0
0.1526,0.861,0
0.1992,0.8142,0
0.1355,0.838,0
0.1547,0.8521,0
0.1793,0.8323,0
0.1692,0.8372,0
0.1763,0.8247,0
0.16,0.8902,0
0.2107,0.8348,0
0.1294,0.8283,0
0.1695,0.8214,0
0.1836,0.9014,0
0.1648,0.8419,0
0.1764,0.8022,0
0.2033,0.8455,0
0.1781,0.8446,0
0.1754,0.7934,0
0.1721,0.8543,0
0.1745,0.8387,0
0.1649,0.8141,0
0.1402,0.8195,0
0.1506,0.8408,0
0.1551,0.8677,0
0.178,0.8821,0
0.1746,0.8274,0
0.175,0.8191,0
0.174,0.8344,0
0.186,0.8466,0
0.1884,0.8229,0
0.158,0.8081,0
0.1563,0.7922,0
0.1813,0.8162,0
0.1468,0.8415,0
0.1732,0.8176,0
0.1878,0.8642,0
0.1647,0.8136,0
0.1298,0.8479,0
0.1888,0.7824,0
0.1201,0.8589,0
0.2124,0.8169,0
0.2011,0.8354,0
0.1276,0.8404,0
0.1799,0.8438,0
0.193,0.8432,0
0.1595,0.8307,0
0.1625,0.8481,0
0.1534,0.8205,0
0.1856,0.8368,0
0.1702,0.8526,0
0.1643,0.8332,0
0.194,0.8569,0
0.185,0.8569,0
0.1421,0.8357,0
0.1451,0.8555,0
0.1578,0.8105,0
0.1496,0.7791,0
0.1437,0.8755,0
0.1588,0.8333,0
0.1556,0.8288,0
0.1351,0.8217,0
0.1613,0.8157,0
0.1846,0.8219,0
0.1348,0.828,0
0.1847,0.823,0
0.1786,0.8506,0
0.1311,0.8313,0
0.1005,0.8051,0
0.2012,0.8324,0
0.6526,0.0805,1
0.6884,0.0369,1
0.6263,0.1033,1
0.6699,0.04,1
0.602,0.0636,1
0.6055,0.0674,1
0.6448,0.0469,1
0.6612,0.0792,1
0.6332,0.0944,1
0.6728,0.0594,1
0.6246,0.04,1
0.5967,0.0202,1
0.6557,0.0504,1
0.6524,0.0392,1
0.619,0.029,1
0.6479,0.0851,1
0.6703,0.0898,1
0.6697,0.0721,1
0.6335,0.1179,1
0.6547,0.0498,1
0.6122,0.0974,1
0.5962,0.0805,1
0.6444,0.0991,1
0.625,0.0618,1
